Name,Birth/death dates,File name,Category,Field
Charles Batteux,1713–1780,Charles_Batteux.txt,French male non-fiction writers,
Charles Bernard Renouvier,1815–1903,Charles_Bernard_Renouvier.txt,Epistemologists,Philosophers of mind
Charles Blount (deist),1654–1693,Charles_Blount_(deist).txt,English philosophers,
Charles Bonnet,1720–1793,Charles_Bonnet.txt,Fellows of the Royal Society,
Charles Darwin,1809–1882,Charles_Darwin.txt,Fellows of the Royal Society,
Charles Fourier,1772–1837,Charles_Fourier.txt,Moral philosophers,Philosophers of culture
Charles Hartshorne,1897–2000,Charles_Hartshorne.txt,Epistemologists,Philosophers of mind
Charles Leslie Stevenson,1908–1979,Charles_Leslie_Stevenson.txt,Philosophers of mind,Philosophers of mind
Charles Sanders Peirce,1839–1914,Charles_Sanders_Peirce.txt,Epistemologists,Philosophers of mind
Charles Secrétan,1815–1895,Charles_Secrétan.txt,1895 deaths,
Charles Taylor (philosopher),born 1931,Charles_Taylor_(philosopher).txt,Ontologists,Philosophers of social science
"Charles de Secondat, Baron de Montesquieu",1689–1755,"Charles_de_Secondat,_Baron_de_Montesquieu.txt",Philosophers of history,Philosophers of history
Chauncey Wright,1830–1875,Chauncey_Wright.txt,Harvard University alumni,
Cheng Hao,1032–1085,Cheng_Hao.txt,Chinese Confucianists,
Cheng Hsuan,127–200,Cheng_Hsuan.txt,Chinese Confucianists,
Cheng Yi (philosopher),1033–1107,Cheng_Yi_(philosopher).txt,Chinese Confucianists,
Chia Yi,201–169 BC,Chia_Yi.txt,Chinese Confucianists,
Chih Tun,314–366,Chih_Tun.txt,Philosophers from Henan,
Chou Tun-Yi,1017–1073,Chou_Tun-Yi.txt,Chinese Confucianists,
Christiaan Huygens,1629–1695,Christiaan_Huygens.txt,Age of Enlightenment,
Christian August Crusius,1715–1775,Christian_August_Crusius.txt,German male non-fiction writers,
Christian Friedrich Hebbel,1813–1863,Christian_Friedrich_Hebbel.txt,19th-century German male writers,
Christian Garve,1742–1798,Christian_Garve.txt,German male writers,
Christian Hermann Weisse,1801–1866,Christian_Hermann_Weisse.txt,German male non-fiction writers,
Christian Thomasius,1655–1728,Christian_Thomasius.txt,German male writers,
Christian Wolff (philosopher),1679–1754,Christian_Wolff_(philosopher).txt,Enlightenment philosophers,
Christian von Ehrenfels,1856–1932,Christian_von_Ehrenfels.txt,University of Vienna alumni,
Christine de Pizan,c. 1365 – c. 1430,Christine_de_Pizan.txt,French women philosophers,
Christoph Friedrich Nicolai,1733–1811,Christoph_Friedrich_Nicolai.txt,18th-century German male writers,
Christopher Jacob Boström,1797–1866,Christopher_Jacob_Boström.txt,19th-century philosophers,
Christopher Peacocke,born 1950,Christopher_Peacocke.txt,Analytic philosophers,
Chrysippus,279–207 BC,Chrysippus.txt,Ancient Greek mathematicians,
Cicero,106 BC–43 BC,Cicero.txt,Roman-era philosophers,Philosophers of Roman Italy
Clarembald of Arras,1110–1187,Clarembald_of_Arras.txt,1110s births,
Clarence Irving Lewis,1883–1964,Clarence_Irving_Lewis.txt,Epistemologists,Philosophers of mind
Claude Adrien Helvétius,1715–1771,Claude_Adrien_Helvétius.txt,Atheist philosophers,
Claude Bernard,1813–1878,Claude_Bernard.txt,University of Paris faculty,
Claude Buffier,1661–1737,Claude_Buffier.txt,French male non-fiction writers,
"Claude Henri de Rouvroy, Comte de Saint-Simon",1760–1825,"Claude_Henri_de_Rouvroy,_Comte_de_Saint-Simon.txt",French male writers,
Claude Lefort,1924–2010,Claude_Lefort.txt,Philosophers of culture,Philosophers of culture
Claude Lévi-Strauss,1908–2009,Claude_Lévi-Strauss.txt,Epistemologists,Philosophers of mind
Claudia Card,1940–2015,Claudia_Card.txt,Philosophers of ethics and morality,Philosophers of ethics and morality
Cleanthes,301–232 BC,Cleanthes.txt,3rd-century BC Greek people,
Clement of Alexandria,2nd–3rd century,Clement_of_Alexandria.txt,Catholic philosophers,
Cleomedes,2nd century,Cleomedes.txt,Ancient Greek mathematicians,
Colin McGinn,born 1950,Colin_McGinn.txt,Epistemologists,Philosophers of mind
Colin Wilson,1931–2013,Colin_Wilson.txt,Continental philosophers,
Comenius,1592–1670,Comenius.txt,Heidelberg University alumni,
Confucius,551 BC–479 BC,Confucius.txt,Epistemologists,Philosophers of culture
Constance Jones,1848–1922,Constance_Jones.txt,Moral philosophers,
Conyers Middleton,1683–1750,Conyers_Middleton.txt,"Fellows of Trinity College, Cambridge",
Cornel West,born 1953,Cornel_West.txt,Social critics,
Cornelius Castoriadis,1922–1997,Cornelius_Castoriadis.txt,Philosophers of mind,Philosophers of mind
Costanzo Preve,1943–2013,Costanzo_Preve.txt,Marxist theorists,
Cotton Mather,1663–1728,Cotton_Mather.txt,Philosophers of science,Philosophers of science
Cratylus,c. 400 BC,Cratylus.txt,Year of birth unknown,
Crispin Sartwell,born 1958,Crispin_Sartwell.txt,American philosophers,
Crispin Wright,born 1942,Crispin_Wright.txt,Epistemologists,Philosophers of language
Curt Ducasse,1881–1969,Curt_Ducasse.txt,20th-century American philosophers,
Cyrano de Bergerac (writer),1619–1655,Cyrano_de_Bergerac_(writer).txt,Writers from Paris,
D. Hugh Mellor,1938–2020,D._Hugh_Mellor.txt,Fellows of the British Academy,
Dagfinn Føllesdal,born 1932,Dagfinn_Føllesdal.txt,Analytic philosophers,Philosophers of language
Damaris Cudworth Masham,1659–1708,Damaris_Cudworth_Masham.txt,Epistemologists,
Damascius,c. 462–540,Damascius.txt,Neoplatonists,
Daniel Dennett,born 1942,Daniel_Dennett.txt,Philosophers of mind,Philosophers of mind
Daniel Raymond,1786–1849,Daniel_Raymond.txt,Enlightenment philosophers,
Dante Alighieri,1265–1321,Dante_Alighieri.txt,14th-century Latin writers,
