Name,Birth/death dates,File name
Ernst Mach,1838–1916,Ernst_Mach.txt
Ernst Mally,1879–1944,Ernst_Mally.txt
Ernst Mayr,1904–2005,Ernst_Mayr.txt
Ernst Troeltsch,1865–1923,Ernst_Troeltsch.txt
Ernst Tugendhat,born 1930,Ernst_Tugendhat.txt
Ernst Zermelo,1871–1953,Ernst_Zermelo.txt
Errico Malatesta,1853–1932,Errico_Malatesta.txt
Erwin Rohde,1845–1898,Erwin_Rohde.txt
Erwin Schrödinger,1887–1961,Erwin_Schrödinger.txt
Eudoxus of Cnidus,410/408 BC–355 or 347 BC,Eudoxus_of_Cnidus.txt
Eugen Dühring,1833–1921,Eugen_Dühring.txt
Eugen Fink,1905–1975,Eugen_Fink.txt
Eugen Rosenstock-Huessy,1888–1973,Eugen_Rosenstock-Huessy.txt
Eusebius of Caesarea,264–339,Eusebius_of_Caesarea.txt
Evald Vassilievich Ilyenkov,1924–1979,Evald_Vassilievich_Ilyenkov.txt
